IdLieuDit;Libelle;Couleur
311;MONT MERDOUS;
312;MONTAYMAT;
313;MONTPLO;
314;MONTREDON;
315;PARRO DE BLAQUIERE;
316;PARRO LONGUE;
317;PELOUSAS;
318;PEYRE GOZON;
319;PEYREPLANTADE;
320;PLAN POUZAT;
321;PLO D'AYGUE MORTE;
322;PLO DE CAMBOUYS;
323;PLO DE LA MELLIERE;
324;PLO DE LOBRE;
325;PLO DE MISSOU;
326;PLO DEL BLAQUIO;
327;PLO DEL BOSC;
328;PORTES DE REVEL;
329;PUECH BERTRAND;
330;PUECH BLACOUS;
331;PUECH BOURREL;
332;PUECH DE BOUYO;
333;PUECH DE BRAUME;
334;PUECH DE LA BINSO;
335;PUECH DE LA CROUX;
336;PUECH DE LA LAVAGNE;
337;PUECH DE MONTREDON;
338;PUECH DEL BOUYS;
339;PUECH DES MIOLLES;
340;PUECH DU DEVEZ;
341;PUECH FOREZ;
342;PUECH GREZAL;
343;PUECH POUNCHUT;
344;PUECH ROUCOUS ET PEY;
345;PUECH ROUSSET;
346;RAJAL DEL GORP;
347;RAJAL DES CERISIERS;
348;RAJAL DES GORPS;
349;RANC DES GARS;
350;REDOULES;
351;RENOUSES;
352;ROC AYMA;
353;ROC DE LA LIGUE;
354;ROC POUNCHUT;
355;ROC TRAUCAT;
356;ROCS DU BARTHAS;
357;RON DE GUINET;
358;ROQUE CAYLUS;
359;ROQUE COURBE;
360;ROUQUET BLANC;
361;ROUQUIES;
362;ROUTAOUS;
363;SAINT SAUVEUR;
364;SEGALA DU TEMPLE;
365;SERRE DE CABRIERES;
366;SERRE DE CABRIERRES;
367;SERRE DE L`AZE;
368;SERRE DE LA BAUME;
369;SERRE DE LA BORIE;
370;SERRE DE LA QUILLE;
371;SERRE DE LA TUNE;
372;SERRE DE LAS SOUTS;
373;SERRE DE LERME;
374;SERRE DE MALBOSC;
375;SERRE DE QUINCAUREIL;
376;SERRE DE RICARD;
377;SERRE DES ARETS;
378;SERRE DES GREZES;
379;SERRE DU MAZEL;
380;SERRE DU PENDU;
381;SERRES DES ARETS;
382;SOT BOUYSSOUNOUS;
383;SOT DE LA CONQUE;
384;SOT DEL BONNET;
385;SOT MOULIS;
386;SOUPAURE;
387;SOUQUE NEGRE;
388;ST MARTIN DU LARZAC;
389;ST SAUVEUR;
390;STE CATHERINE;
391;TERNESQUES;
392;TRALS CLAUX;
393;TRAVERS DE CLAPADE;
394;TRAVERS DE COMBECROI;
395;TRAVERS DE GARY;
396;TRAVERS DE GOUYRIPHO;
397;TRAVERS DE LA FON;
398;TRAVERS DE LA FONT;
399;TRAVERS DES NAUQUES;
400;TRAVERS DU PUECH RAM;
401;TRAVERSIERES;
402;TRAVERSIÈRES;
403;VENTO QUIOULS;
